pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fare_amount,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
2016,1,2,6,5,2,6,14.60,1904,41.00,1.30,0.00,8.46,50.76,1
2016,1,2,6,5,2,4,20.62,1899,52.00,0.80,5.54,11.67,70.01,1
2016,1,2,6,5,3,6,5.30,808,17.50,1.30,0.00,0.00,18.80,2
2016,1,2,6,5,2,6,8.50,1302,25.50,1.30,0.00,5.35,32.15,1
2016,1,2,6,5,2,2,17.99,2157,52.00,0.80,0.00,0.00,52.80,2
2016,1,2,6,5,3,4,9.50,863,26.00,1.30,5.54,5.00,37.84,1
2016,1,2,6,5,2,4,20.69,2451,52.00,0.80,5.54,11.00,69.34,1
2016,1,2,6,5,3,4,12.90,1546,37.00,1.30,5.54,0.00,43.84,2
2016,1,2,6,5,3,4,9.50,1108,27.50,1.30,5.54,0.00,34.34,2
2016,1,2,6,5,3,1,10.10,1253,29.50,1.30,0.00,7.70,38.50,1
2016,1,2,6,5,2,4,17.93,1665,52.00,0.80,5.54,0.00,58.34,2
2016,1,2,6,5,2,4,18.40,2592,52.00,0.80,0.00,0.00,52.80,2
2016,1,2,6,5,4,2,16.50,1903,52.00,0.80,5.54,0.00,58.34,2
2016,1,2,6,5,2,4,21.00,2444,52.00,0.80,0.00,2.50,55.30,1
2016,1,2,6,5,2,6,12.66,1703,37.00,1.30,0.00,0.00,38.30,2
2016,1,2,6,5,2,4,18.29,2407,52.00,0.80,5.54,3.66,62.00,1
2016,1,2,6,5,2,1,15.70,1380,43.00,1.30,0.00,0.00,44.30,1
2016,1,2,6,5,2,4,17.16,1918,52.00,0.80,0.00,10.56,63.36,1
2016,1,2,6,5,2,4,15.80,1846,52.00,0.80,5.54,0.00,58.34,2
2016,1,2,6,5,3,1,10.41,1785,33.00,1.30,0.00,6.86,41.16,1
2016,1,2,6,5,2,1,15.20,1878,42.00,1.30,0.00,4.00,47.30,1
2016,1,2,6,5,3,1,10.65,1032,30.00,1.30,0.00,4.00,35.30,1
2016,1,2,6,5,2,1,11.94,1905,36.00,1.30,0.00,9.32,46.62,1
2016,1,2,6,5,2,4,17.36,2042,52.00,0.80,5.54,8.00,66.34,1
2016,1,2,6,5,2,4,18.81,2097,52.00,0.80,5.54,11.67,70.01,1
2016,1,2,6,5,2,1,9.47,1156,28.50,1.30,0.00,0.00,29.80,2
2016,1,2,6,5,2,4,19.05,2093,52.00,0.80,5.54,11.67,70.01,1
